   %c0  GHz  TSC SMI    %c1    %c3    %c6    %c7 CTMP PTMP   %pc2   %pc3   %pc6   %pc7  Pkg_W  Cor_W GFX_W
 80.40 3.42 2.80   0  19.60   0.00   0.00   0.00   89   89   0.00   0.00   0.00   0.00  57.89  50.19  0.00
 75.53 3.42 2.79   0  24.47   0.00   0.00   0.00   88   88   0.00   0.00   0.00   0.00  57.83  50.16  0.00
 75.62 3.42 2.79   0  24.38   0.00   0.00   0.00   91   91   0.00   0.00   0.00   0.00  57.83  50.19  0.00
 75.40 3.42 2.79   0  24.60   0.00   0.00   0.00   90   90   0.00   0.00   0.00   0.00  57.83  50.20  0.00
 75.23 3.42 2.79   0  24.77   0.00   0.00   0.00   89   89   0.00   0.00   0.00   0.00  57.83  50.17  0.00
 75.36 3.42 2.79   0  24.64   0.00   0.00   0.00   88   88   0.00   0.00   0.00   0.00  57.83  50.15  0.00
 75.39 3.42 2.79   0  24.61   0.00   0.00   0.00   89   89   0.00   0.00   0.00   0.00  57.83  50.15  0.00
 75.34 3.41 2.79   0  24.66   0.00   0.00   0.00   89   89   0.00   0.00   0.00   0.00  57.83  50.18  0.00
 75.38 3.41 2.79   0  24.62   0.00   0.00   0.00   90   90   0.00   0.00   0.00   0.00  57.84  50.19  0.00
 75.35 3.41 2.79   0  24.65   0.00   0.00   0.00   90   90   0.00   0.00   0.00   0.00  57.83  50.18  0.00
 75.48 3.41 2.79   0  24.52   0.00   0.00   0.00   90   90   0.00   0.00   0.00   0.00  57.83  50.16  0.00
 75.43 3.41 2.79   0  24.57   0.00   0.00   0.00   89   89   0.00   0.00   0.00   0.00  57.83  50.15  0.00
 75.36 3.41 2.79   0  24.64   0.00   0.00   0.00   89   89   0.00   0.00   0.00   0.00  57.83  50.18  0.00
 75.37 3.41 2.79   0  24.63   0.00   0.00   0.00   89   89   0.00   0.00   0.00   0.00  57.83  50.13  0.00
 75.36 3.41 2.79   0  24.64   0.00   0.00   0.00   88   88   0.00   0.00   0.00   0.00  57.83  50.13  0.00
 75.18 3.59 2.79   0   8.59   0.12   0.03  16.08   98   98   0.00   0.00   0.00   0.00  57.74  50.22  0.00
 75.48 3.66 2.79   0   1.88   0.57   0.19  21.88   97   97   0.00   0.00   0.00   0.00  57.59  50.20  0.00
 76.60 3.64 2.79   0   2.47   0.59   0.27  20.07   96   97   0.00   0.00   0.00   0.00  57.68  50.30  0.00
 75.63 3.42 2.79   0  22.78   0.11   0.02   1.47   90   90   0.00   0.00   0.00   0.00  57.79  50.12  0.00
 76.99 3.40 2.79   0  23.01   0.00   0.00   0.00   91   91   0.00   0.00   0.00   0.00  57.83  50.13  0.00
 75.48 3.40 2.79   0  24.52   0.00   0.00   0.00   90   91   0.00   0.00   0.00   0.00  57.84  50.13  0.00
 75.41 3.40 2.79   0  24.59   0.00   0.00   0.00   90   90   0.00   0.00   0.00   0.00  57.83  50.13  0.00
 75.32 3.41 2.79   0  24.68   0.00   0.00   0.00   90   90   0.00   0.00   0.00   0.00  57.83  50.13  0.00
 75.60 3.41 2.79   0  24.40   0.00   0.00   0.00   90   90   0.00   0.00   0.00   0.00  57.83  50.14  0.00
